date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:59:04	9034/9034	---MC-	200	added ('OK')	text/html	date:Wed,%2007%20Jan%202015%2009:58:18%20GMT	http://java.boot.by/wcd-guide/ch02s04.html	C:/My%20Web%20Sites/jsp/java.boot.by/wcd-guide/ch02s04.html	(from )
10:59:16	9274/9274	---MC-	200	added ('OK')	text/html	date:Wed,%2007%20Jan%202015%2009:58:26%20GMT	http://java.boot.by/wcd-guide/ch03.html	C:/My%20Web%20Sites/jsp/java.boot.by/wcd-guide/ch03.html	(from )
11:00:01	16251/16251	---MC-	200	added ('OK')	text/html	date:Wed,%2007%20Jan%202015%2009:58:15%20GMT	http://java.boot.by/wcd-guide/ch02s03.html	C:/My%20Web%20Sites/jsp/java.boot.by/wcd-guide/ch02s03.html	(from )
11:00:01	36984/36984	---MC-	200	added ('OK')	text/html	date:Wed,%2007%20Jan%202015%2009:58:14%20GMT	http://java.boot.by/wcd-guide/ch02s02.html	C:/My%20Web%20Sites/jsp/java.boot.by/wcd-guide/ch02s02.html	(from )
11:00:39	20126/20126	---MC-	200	added ('OK')	text/html	date:Wed,%2007%20Jan%202015%2009:59:05%20GMT	http://java.boot.by/wcd-guide/ch03s02.html	C:/My%20Web%20Sites/jsp/java.boot.by/wcd-guide/ch03s02.html	(from )
11:01:06	32628/32628	---MC-	200	added ('OK')	text/html	date:Wed,%2007%20Jan%202015%2009:59:18%20GMT	http://java.boot.by/wcd-guide/ch03s03.html	C:/My%20Web%20Sites/jsp/java.boot.by/wcd-guide/ch03s03.html	(from )
11:01:22	8190/8190	---MC-	200	added ('OK')	text/html	date:Wed,%2007%20Jan%202015%2010:00:41%20GMT	http://java.boot.by/wcd-guide/ch04.html	C:/My%20Web%20Sites/jsp/java.boot.by/wcd-guide/ch04.html	(from )
11:01:32	18412/18412	---MC-	200	added ('OK')	text/html	date:Wed,%2007%20Jan%202015%2010:00:03%20GMT	http://java.boot.by/wcd-guide/ch03s05.html	C:/My%20Web%20Sites/jsp/java.boot.by/wcd-guide/ch03s05.html	(from )
11:02:00	11174/11174	---MC-	200	added ('OK')	text/html	date:Wed,%2007%20Jan%202015%2010:01:07%20GMT	http://java.boot.by/wcd-guide/ch04s02.html	C:/My%20Web%20Sites/jsp/java.boot.by/wcd-guide/ch04s02.html	(from )
11:02:03	23078/23078	---MC-	200	added ('OK')	text/html	date:Wed,%2007%20Jan%202015%2010:00:02%20GMT	http://java.boot.by/wcd-guide/ch03s04.html	C:/My%20Web%20Sites/jsp/java.boot.by/wcd-guide/ch03s04.html	(from )
11:02:24	9863/9863	---MC-	200	added ('OK')	text/html	date:Wed,%2007%20Jan%202015%2010:01:24%20GMT	http://java.boot.by/wcd-guide/ch04s03.html	C:/My%20Web%20Sites/jsp/java.boot.by/wcd-guide/ch04s03.html	(from )
11:02:27	10834/10834	---MC-	200	added ('OK')	text/html	date:Wed,%2007%20Jan%202015%2010:01:33%20GMT	http://java.boot.by/wcd-guide/ch04s04.html	C:/My%20Web%20Sites/jsp/java.boot.by/wcd-guide/ch04s04.html	(from )
11:02:32	7921/7921	---MC-	200	added ('OK')	text/html	date:Wed,%2007%20Jan%202015%2010:02:02%20GMT	http://java.boot.by/wcd-guide/ch05.html	C:/My%20Web%20Sites/jsp/java.boot.by/wcd-guide/ch05.html	(from )
11:03:42	14955/14955	---MC-	200	added ('OK')	text/html	date:Wed,%2007%20Jan%202015%2010:02:05%20GMT	http://java.boot.by/wcd-guide/ch05s02.html	C:/My%20Web%20Sites/jsp/java.boot.by/wcd-guide/ch05s02.html	(from )
11:03:57	12771/12771	---MC-	200	added ('OK')	text/html	date:Wed,%2007%20Jan%202015%2010:02:34%20GMT	http://java.boot.by/wcd-guide/ch06s02.html	C:/My%20Web%20Sites/jsp/java.boot.by/wcd-guide/ch06s02.html	(from )
11:04:04	17778/17778	---MC-	200	added ('OK')	text/html	date:Wed,%2007%20Jan%202015%2010:02:26%20GMT	http://java.boot.by/wcd-guide/ch05s03.html	C:/My%20Web%20Sites/jsp/java.boot.by/wcd-guide/ch05s03.html	(from )
11:04:47	22939/22939	---MC-	200	added ('OK')	text/html	date:Wed,%2007%20Jan%202015%2010:02:28%20GMT	http://java.boot.by/wcd-guide/ch06.html	C:/My%20Web%20Sites/jsp/java.boot.by/wcd-guide/ch06.html	(from )
11:05:19	11671/11671	---MC-	200	added ('OK')	text/html	date:Wed,%2007%20Jan%202015%2010:03:44%20GMT	http://java.boot.by/wcd-guide/ch06s03.html	C:/My%20Web%20Sites/jsp/java.boot.by/wcd-guide/ch06s03.html	(from )
11:05:21	14195/14195	---MC-	200	added ('OK')	text/html	date:Wed,%2007%20Jan%202015%2010:03:59%20GMT	http://java.boot.by/wcd-guide/ch06s04.html	C:/My%20Web%20Sites/jsp/java.boot.by/wcd-guide/ch06s04.html	(from )
11:05:38	16248/16248	---MC-	200	added ('OK')	text/html	date:Wed,%2007%20Jan%202015%2010:04:06%20GMT	http://java.boot.by/wcd-guide/ch06s05.html	C:/My%20Web%20Sites/jsp/java.boot.by/wcd-guide/ch06s05.html	(from )
11:05:45	11159/11159	---MC-	200	added ('OK')	text/html	date:Wed,%2007%20Jan%202015%2010:04:49%20GMT	http://java.boot.by/wcd-guide/ch06s06.html	C:/My%20Web%20Sites/jsp/java.boot.by/wcd-guide/ch06s06.html	(from )
11:06:33	8650/8650	---MC-	200	added ('OK')	text/html	date:Wed,%2007%20Jan%202015%2010:05:46%20GMT	http://java.boot.by/wcd-guide/ch07s03.html	C:/My%20Web%20Sites/jsp/java.boot.by/wcd-guide/ch07s03.html	(from )
11:06:33	13235/13235	---MC-	200	added ('OK')	text/html	date:Wed,%2007%20Jan%202015%2010:05:22%20GMT	http://java.boot.by/wcd-guide/ch07.html	C:/My%20Web%20Sites/jsp/java.boot.by/wcd-guide/ch07.html	(from )
11:06:33	12328/12328	---MC-	200	added ('OK')	text/html	date:Wed,%2007%20Jan%202015%2010:05:40%20GMT	http://java.boot.by/wcd-guide/ch07s02.html	C:/My%20Web%20Sites/jsp/java.boot.by/wcd-guide/ch07s02.html	(from )
11:06:33	13305/13305	---MC-	200	added ('OK')	text/html	date:Wed,%2007%20Jan%202015%2010:05:21%20GMT	http://java.boot.by/wcd-guide/ch06s07.html	C:/My%20Web%20Sites/jsp/java.boot.by/wcd-guide/ch06s07.html	(from )
